分类,平均分权重,标准差权重,评论总数权重,归一化的总权重
交通出行,0.1131930791073521,0.12938123137680282,0.1403643841845276,0.1255001924730905
住房条件,0.13244667380157768,0.1345579967606188,0.22813281524502405,0.24821878306132703
基础设施,0.07785085195488055,0.1077842483054583,0.0022683587210383807,0.0011620550852927984
休闲娱乐,0.13104686675063507,0.1229239100440066,0.053650042370254,0.0527629890137055
公共安全,0.11050243854798458,0.12444607648722328,0.252325196866668,0.2118409936273855
环境健康,0.1428752646322166,0.13101884575961495,0.10881921336006446,0.12436343590172892
科技文化,0.1539990430178797,0.11534889190298811,0.14217803774052867,0.15419144488168257
社会公平,0.1380857821874737,0.13453879936328714,0.07226195151189466,0.08196010595578722
